Namn på organisation,Org nr organisation,Postort organisation,Lagstöd verksamhet,Status tillsynsobjekt,Lag verksamhetsinnehåll,Lagrum verksamhetsinnehåll,Typ av boende verksamhetsinnehåll
Sunnanvind Personlig Assistans AB,556895-8002,ANGERED,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Sunnersta Fastighetsförvaltning AB,559022-6162,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Supporta Omsorg AB,556970-0916,Uddevalla,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Supporta Omsorg AB,556970-0916,Uddevalla,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Supporta Omsorg HVB AB,559165-3471,Uddevalla,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Susanne Persson,620321-3944,Eslöv,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Susanne Wallin,581004-0344,Farsta,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
SussAssistans AB,556976-0233,SORUNDA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Svanen Hemtjänst Aktiebolag,556815-3919,Nacka,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Svängrum assistans,680503-4029,Malmö,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Svartnäsgården AB,559286-9019,SVÄRDSJÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Svea Boende AB,559034-4098,KISTA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Svea Boende AB,559034-4098,KISTA,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
SveaCare AB,559187-8276,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Svensk Arrangemangs Konsult
 Aktiebolag",556385-9577,Falun,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Svensk Familjeplacering AB,559303-8648,NORRKÖPING,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Svenska Barndomshem AB,559034-9071,VÄNGE,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Svenska Behandlingsfamiljer AB,559158-4809,Sollentuna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Svenska Familjehem AB,556893-8988,Sollentuna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Sverigespira Assistans AB,556815-4305,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Swe Assistans AB,556676-2323,GÄVLE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Swea Familjehem AB,556699-1641,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Sweden Arabian Stud AB,556876-9029,Uddevalla,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Swedsom Omsorg AB,556822-2763,UMEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Sweid Care AB,559328-7294,Helsingborg,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Sweid SF AB,559031-9157,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Sydassistans Aktiebolag,556476-1137,LIMHAMN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Sydassistans Service AB,556679-9697,LIMHAMN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Sydliden Aktiebolag,556629-1794,Ängelholm,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Sympati AB,559025-2523,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
"Synvändan Birgitta
 Fredriksson AB",556764-7523,LINKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Syrsa AB,556777-5084,ALINGSÅS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Syrsagården AB,556558-3175,EDSBRUK,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Syrsagården AB,556558-3175,EDSBRUK,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Syrsagården AB,556558-3175,EDSBRUK,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
"Syster Hulda Englunds
 Stiftelse Ekeliden",837000-6267,Hässleholm,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Syster Hulda Englunds Stiftelse Ekeliden,837000-6267,Hässleholm,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Syster Hulda Englunds Stiftelse Ekeliden,837000-6267,Hässleholm,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Syster Hulda Englunds Stiftelse Ekeliden,837000-6267,Hässleholm,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Syster Hulda Englunds
 Stiftelse Ekeliden",837000-6267,Hässleholm,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Syster Hulda Englunds
 Stiftelse Ekeliden",837000-6267,Hässleholm,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Syster Hulda Englunds
 Stiftelse Ekeliden",837000-6267,Hässleholm,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
SystraMi Omsorg AB,559029-6181,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Systrarna Odh's Hemtjänst AB,556825-7884,FALKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
T. Finn Miljöteknik AB,556619-4212,ROTTNE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
T.A.L.A. Assistans AB,556777-3220,TÄBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
T.S Assistans AB,556809-1937,Halmstad,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Takkten AB,559050-9906,VÄRNAMO,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Tallbackens Ungdomshem AB,556545-5705,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tallbackens Ungdomshem AB,556545-5705,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Tallgården i Virserum AB,556379-9096,VIRSERUM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tallgården i Virserum AB,556379-9096,VIRSERUM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tallgården i Virserum AB,556379-9096,VIRSERUM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tallgården i Virserum AB,556379-9096,VIRSERUM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tallgården i Virserum AB,556379-9096,VIRSERUM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tallkullens HVB-hem AB,556574-8943,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
TASS Assistans Ek. för.,769619-3775,VENDELSÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Ta-Verens Assistans &
 Ekonomi AB",556637-5795,GÄVLE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
TC Assistans & Support,570112-1096,Haninge,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"TCD Göteborg/Säve
 ekonomisk förening",769609-2597,SÄVE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
TE Storage 3 AB,556889-9644,KUNGÄLV,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
TEAM ACTUM AB,556765-3372,ÖREBRO,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Team Aron Assistans AB,556889-7929,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Team Assistans i Göteborg AB,556681-3357,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Team Familjehem Småland
 AB",559039-3152,Kalmar,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Team Raptor AB,556895-8051,VÄSTERÅS,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Team Tilda Assistans AB,556816-7000,DJURSHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
TEBY ASSISTANS AB,556733-9451,Helsingborg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Teckenspråk och
 Tillgänglighet i Stockholm ek. för.",769634-9666,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
"Teckenspråkig Assistans i
 Sverige AB",556937-2559,TÄBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Teckenspråkig Assistans i Sverige AB,556937-2559,TÄBY,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Tegelbruket 56 ek. för.,769619-6281,JÄRPEN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Telge assistans AB,556714-3663,SÖDERTÄLJE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
TESIA AB,556583-1301,Uddevalla,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
TG på Gotland AB,556924-3107,Visby,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Thambert Leijon Aktiebolag,559079-5810,Nacka,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Thambert Leijon Aktiebolag,559079-5810,Nacka,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
The Drawing Room AB,556821-2731,MALMÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Thomas Hansen,740418-9354,Borås,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Tiangruppen AB,556378-5145,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tibble Gård Ungdomshem AB,556632-1757,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tibble Gård Ungdomshem AB,556632-1757,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Tibble Gård Ungdomshem AB,556632-1757,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tibble Gård Ungdomshem AB,556632-1757,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Tibble Gård Ungdomshem AB,556632-1757,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tiendo AB,556993-3210,Helsingborg,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tillberga GrannskapsService ekonomisk förening,716454-7536,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Tillberga GrannskapsService ekonomisk förening,716454-7536,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"Tillgänglig Assistans
 Stockholm AB",556768-1571,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tillit HVB AB,556629-0820,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
TILLITS-TEAMET SVERIGE AB,556751-4558,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Tim-Assistans CQF
 Kommanditbolag",969745-9692,GÖTA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tindra personlig assistans AB,556669-5713,KLIPPAN,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tiohundra AB,556595-7395,NORRTÄLJE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tiohundra AB,556595-7395,NORRTÄLJE,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Tiohundra AB,556595-7395,NORRTÄLJE,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Tiveda Vård och Behandling AB,559241-2042,ÖREBRO,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tjust Behandlingsfamiljer AB,556657-9438,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tjust Behandlingsfamiljer AB,556657-9438,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Tjust Grön Omsorg,660920-2905,Hjorted,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Tobias Assistans AB,556713-9398,Kristinehamn,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Together Assistans AB,556854-8019,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Together Handelsbolag,969737-3364,JORDBRO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Tommy Karlsson med firma
 Villa-Marma",591121-1455,Knivsta,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tommy Nilsson,700807-2998,Söderköpning,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Top assistans i Sthlm
 Ekonomisk förening",769619-7636,NYKÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tornabäckens Assistans AB,556707-3712,LUND,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Törnrosens Assistans AB,556775-2653,Heby,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Tornsvalan, Ekonomisk
 förening",769602-9771,SKÄLLINGE,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Torpahemmet AB,559321-5121,NÄSSJÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Torsbygården. enskild firma,460615-1027,VÄRMDÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Total Familia AB,559105-6279,BANDHAGEN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Tränbo,650313-1358,Södertälje,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Träning för Förändring i Malmö AB,556802-0183,MALMÖ,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
TRF Assistans,870121-1560,Västerås,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"TRIS-tjejers rättigheter i
 samhället",817606-9055,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
TRM i Norr AB,556883-9038,JUNOSUANDO,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Trollebo Assistans
 Handelsbolag",969689-9005,LUND,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Trosta B&B AB,556662-7484,UNDERSÅKER,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Troxhammar Entreprenad AB,556751-1802,SKÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
TRS-Assistans AB,556664-2442,ESLÖV,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Trygga Assistans i Norr AB,556824-4809,UMEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Trygga familjehem i Sverige
 AB",559335-4896,SKÄRHOLMEN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Trygga Hem Högkvalitativa Behandlingshem S AB,559010-3585,Karlstad,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Trygga Hvb-Hem i Sverige AB,559006-7970,Helsingborg,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Trygga Vägen Vård AB,556886-1305,SÄVEDALEN,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Trygga Vägen Vård AB,556886-1305,SÄVEDALEN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Trygga Vägen Vård AB,556886-1305,SÄVEDALEN,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Tryggare Vård Och Omsorg i Sverige AB,556836-2338,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
TryggFramtid TF AB,559050-1929,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
TryggFramtid TF AB,559050-1929,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
TSM Daglig Verksamhet AB,556641-3901,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
TSM Daglig Verksamhet AB,556641-3901,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
TSM Daglig Verksamhet AB,556641-3901,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Turmalinen,481026-8617,Umeå,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Turmalinen,481026-8617,Umeå,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Turmalinen,481026-8617,Umeå,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
Turmalinen,481026-8617,Umeå,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Tursbo Rehab AB,556553-7270,Skillingaryd,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tursbo Rehab AB,556553-7270,Skillingaryd,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tutus AB,559272-2267,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Två Vänners Assistans AB,559348-3158,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Tvåpunktnoll AB,559135-2777,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Tvåpunktnoll AB,559135-2777,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Tyresö kommun,212000-0092,Tyresö,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Tyresö kommun,212000-0092,Tyresö,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Tyresö kommun,212000-0092,Tyresö,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Ugglegård omsorg AB,559059-2712,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Umeå Assistansservice AB,556623-4703,UMEÅ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ung Assistans i Mälardalen AB,556809-7306,KÖPING,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Ung Invest Omsorg AB,559120-2865,LIDINGÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
"Unga Hörselskadade i
 Stockholms län",802008-4581,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Korttidstillsyn för skolungdom över 12 år, LSS 9.7 p",
Ungart AB,556637-9623,MALMÖ,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Ungas Utopi AB,556926-8617,KUNGSÄNGEN,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Ungbo AB,559165-5252,Visby,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
ungdomscoach 24 AB,559268-6918,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Ungdomshem Väst AB,556984-9580,KODE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Ungdomshem Väst AB,556984-9580,KODE,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
"Ungdomshemmet Hajstorp
 AB",556618-0369,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Ungdomshemmet Muggebo
 AB",556781-2515,Mariestad,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"Ungdomshemmet Muggebo
 AB",556781-2515,Mariestad,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Ungdomsstöd i Jämtland AB,559384-5828,Östersund,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Ungdomsstödet Bo Syd AB,559160-1223,MALMÖ,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
"Ungdomsstödet utredning
 och familjehem syd AB",559228-9325,MALMÖ,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Ungdomsvård i Sverige Handelsbolag,969776-0305,GRYTHYTTAN,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Ungdomsvärnet AB,556869-5109,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Unik Assistans Sverige AB,556752-1272,Halmstad,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Unik Musik i Östergötland AB,559061-9200,VRETA KLOSTER,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Uniq Care Sweden AB,559061-2908,KISTA,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Uno Chico AB,559044-6083,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
